id,carrier_name,name,level,plan_type,hsa_eligible,infertility_treatment_rider,individual_medical_deductible_in_network,individual_medical_deductible_out_of_network,family_medical_deductible_in_network,family_medical_deductible_out_of_network,individual_medical_moop_in_network,individual_medical_moop_out_of_network,family_medical_moop_in_network,family_medical_moop_out_of_network,coinsurance_in_network,coinsurance_out_of_network
20523CA0032058,Aetna,CA Platinum HMO Basic $20/40 0,platinum,HMO,False,True,0,,0,,3500,,7000,,,
20523CA0032067,Aetna,CA Platinum HMO Basic $20/40 0 wINF,platinum,HMO,False,True,0,,0,,3500,,7000,,,
20523CA0032076,Aetna,CA Silver HMO $50/70 0,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032095,Aetna,CA Silver HMO $50/70 0 wINF,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032132,Aetna,CA Silver HMO $60/100 2500 wINF,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
20523CA0032151,Aetna,CA Silver HMO AVN $50/70 0,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032168,Aetna,CA Silver HMO AVN $50/70 0 wINF,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032188,Aetna,CA Silver HMO AVN $60/100 2500 wINF,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
20523CA0032235,Aetna,CA Silver HMO Basic $50/70 0,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032244,Aetna,CA Silver HMO Basic $50/70 0 wINF,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032253,Aetna,CA Silver HMO Basic $60/100 2500 wINF,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
20523CA0032703,Aetna,CA Bronze HMO AWH NoCA $75/125 7900,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,,
20523CA0032712,Aetna,CA Bronze HMO AWH NoCA $75/125 7900 wINF,expanded_bronze,HMO,False,True,7900,,15800,,7900,,15800,,,
20523CA0032721,Aetna,CA Gold HMO AWH NoCA $25/50 500,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0032730,Aetna,CA Gold HMO AWH NoCA $25/50 500 wINF,gold,HMO,False,True,500,,1000,,7800,,15600,,20,
20523CA0032739,Aetna,CA Gold HMO AWH NoCA $30/60 0,gold,HMO,False,True,0,,0,,7000,,14000,,,
20523CA0032748,Aetna,CA Gold HMO AWH NoCA $30/60 0 wINF,gold,HMO,False,True,0,,0,,7000,,14000,,,
20523CA0032757,Aetna,CA Gold HMO AWH NoCA $30/70 1250,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0032766,Aetna,CA Gold HMO AWH NoCA $30/70 1250 wINF,gold,HMO,False,True,1250,,2500,,7800,,15600,,30,
20523CA0032775,Aetna,CA Gold HMO AWH NoCA $35/55 250 M,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0032784,Aetna,CA Gold HMO AWH NoCA $35/55 250 wINF,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0032793,Aetna,CA Gold HMO AWH NoCA $35/65 250,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0032802,Aetna,CA Gold HMO AWH NoCA $35/65 250 wINF,gold,HMO,False,True,250,,500,,7800,,15600,,,
20523CA0032811,Aetna,CA Platinum HMO AWH NoCA $20/30 0 M,platinum,HMO,False,True,0,,0,,4500,,9000,,,
20523CA0032820,Aetna,CA Platinum HMO AWH NoCA $20/30 0 wINF,platinum,HMO,False,True,0,,0,,4500,,9000,,,
20523CA0032829,Aetna,CA Platinum HMO AWH NoCA $20/40 0,platinum,HMO,False,True,0,,0,,3500,,7000,,,
20523CA0032838,Aetna,CA Platinum HMO AWH NoCA $20/40 0 wINF,platinum,HMO,False,True,0,,0,,3500,,7000,,,
20523CA0032847,Aetna,CA Silver HMO AWH NoCA $50/70 0,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032856,Aetna,CA Silver HMO AWH NoCA $50/70 0 wINF,silver,HMO,False,True,0,,0,,8700,,17400,,50,
20523CA0032865,Aetna,CA Silver HMO AWH NoCA $55/90 2500 M,silver,HMO,False,True,2500,,5000,,8750,,17500,,35,
20523CA0032874,Aetna,CA Silver HMO AWH NoCA $55/90 2500 wINF,silver,HMO,False,True,2500,,5000,,8750,,17500,,35,
20523CA0032883,Aetna,CA Silver HMO AWH NoCA $60/100 2500,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
20523CA0032892,Aetna,CA Silver HMO AWH NoCA $60/100 2500 wINF,silver,HMO,False,True,2500,,5000,,9100,,18200,,35,
27330CA0130006,Kaiser Permanente,Platinum 90 PPO 0/15 + Child Dental,platinum,PPO,False,True,0,500,0,1000,4500,9000,9000,18000,10,30
27330CA0130007,Kaiser Permanente,Gold 80 PPO 350/25 + Child Dental,gold,PPO,False,True,350,1000,700,2000,7800,15600,15600,31200,20,40
27330CA0130008,Kaiser Permanente,Silver 70 PPO 2500/55 + Child Dental,silver,PPO,False,True,2500,5000,5000,10000,8750,17500,17500,35000,35,40
27330CA0130010,Kaiser Permanente,Bronze 60 PPO 6300/65 + Child Dental,expanded_bronze,PPO,False,True,6300,12600,12600,25200,8200,16400,16400,32800,40,100
27603CA0000001-77,CalChoice,Anthem Prudent Buyer Bronze PPO C (OOA),expanded_bronze,PPO,False,False,6000,12000,12000,24000,8500,17000,17000,34000,40,50
27603CA0000002-77,CalChoice,Anthem Prudent Buyer Silver PPO D (OOA),silver,PPO,True,False,2000,4000,4000,8000,7050,14100,14100,28200,35,50
27603CA0000003-77,CalChoice,Anthem Select PPO Silver PPO E,silver,PPO,True,False,2000,4000,4000,8000,7050,14100,14100,28200,35,50
27603CA0000004-77,CalChoice,Anthem Select HMO Silver HMO A,silver,HMO,False,False,2200,,4400,,9100,,18200,,,
27603CA0000005-77,CalChoice,Anthem Select HMO Gold HMO A,gold,HMO,False,False,0,,0,,6500,,13000,,,
27603CA0000006-77,CalChoice,Anthem Select HMO Platinum HMO A,platinum,HMO,False,False,0,,0,,2500,,5000,,,
27603CA0000007-77,CalChoice,Anthem CaliforniaCare HMO Silver HMO B,silver,HMO,False,False,2200,,4400,,9100,,18200,,,
27603CA0000008-77,CalChoice,Anthem CaliforniaCare HMO Gold HMO B,gold,HMO,False,False,0,,0,,6500,,13000,,,
27603CA0000009-77,CalChoice,Anthem Prudent Buyer Bronze PPO A (OOA),bronze,PPO,True,False,6250,12500,12500,25000,7050,14100,14100,28200,35,50
27603CA0000011-77,CalChoice,Anthem Select PPO Bronze PPO D,expanded_bronze,PPO,False,False,6000,12000,12000,24000,8500,17000,17000,34000,40,50
27603CA0000012-77,CalChoice,Anthem Select PPO Bronze PPO B,expanded_bronze,PPO,True,False,6250,12500,12500,25000,7050,14100,14100,28200,35,50
27603CA0000013-77,CalChoice,Anthem Select PPO Silver PPO B,silver,PPO,False,False,1700,3400,3400,6800,9100,18200,18200,36400,40,50
27603CA0000014-77,CalChoice,Anthem Select PPO Gold PPO B,gold,PPO,False,False,1000,2000,3000,4000,7800,15600,15600,31200,25,50
27603CA0000015-77,CalChoice,Anthem Prudent Buyer Silver PPO C (OOA),silver,PPO,False,False,1700,3400,3400,6800,9100,18200,18200,36400,40,50
27603CA0000016-77,CalChoice,Anthem Select PPO Gold PPO C,gold,PPO,False,False,500,2000,1500,4000,7700,15400,15400,30800,20,50
27603CA0000017-77,CalChoice,Anthem Select PPO Gold PPO D,gold,PPO,False,False,1500,3000,3000,6000,7250,14500,14500,29000,25,50
27603CA0000018-77,CalChoice,Anthem Prudent Buyer Gold PPO E (OOA),gold,PPO,False,False,500,2000,1500,4000,7700,15400,15400,30800,20,50
27603CA0000021-77,CalChoice,Anthem Prudent Buyer Gold PPO F (OOA),gold,PPO,False,True,500,2000,1500,4000,7700,15400,15400,30800,20,50
27603CA0000022-77,CalChoice,Anthem Select PPO Gold PPO G,gold,PPO,False,True,500,2000,1500,4000,7700,15400,15400,30800,20,50
27603CA0000023-77,CalChoice,Anthem Prudent Buyer Platinum PPO A (OOA),platinum,PPO,False,True,0,2000,0,4000,8900,17800,17800,35600,10,50
27603CA1210266,Anthem,Anthem Gold Select HMO 35,gold,HMO,False,False,0,,0,,6750,,13500,,,
27603CA1210266-13,Anthem,Anthem Gold Select HMO 35 w/ T&L,gold,HMO,False,False,0,,0,,6750,,13500,,0,
27603CA1210290,Anthem,Anthem Gold HMO 35,gold,HMO,False,False,0,,0,,6750,,13500,,,
27603CA1210290-13,Anthem,Anthem Gold HMO 35 w/ T&L,gold,HMO,False,False,0,,0,,6750,,13500,,0,
27603CA1210475,Anthem,Anthem Platinum Select HMO 0/25,platinum,HMO,False,False,0,,0,,2300,,4600,,,
27603CA1210475-13,Anthem,Anthem Platinum Select HMO 0/25 w/ T&L,platinum,HMO,False,False,0,,0,,2300,,4600,,0,
27603CA1210510,Anthem,Anthem Platinum HMO 0/25,platinum,HMO,False,False,0,,0,,2300,,4600,,,
27603CA1210510-13,Anthem,Anthem Platinum HMO 0/25 w/ T&L,platinum,HMO,False,False,0,,0,,2300,,4600,,0,
27603CA1210534,Anthem,Anthem Gold Select HMO 30,gold,HMO,False,False,0,,0,,6600,,13200,,,
27603CA1210534-13,Anthem,Anthem Gold Select HMO 30 w/ T&L,gold,HMO,False,False,0,,0,,6600,,13200,,0,
27603CA1210551,Anthem,Anthem Gold HMO 30,gold,HMO,False,False,0,,0,,6600,,13200,,,
27603CA1210551-13,Anthem,Anthem Gold HMO 30 w/ T&L,gold,HMO,False,False,0,,0,,6600,,13200,,0,
27603CA1210773,Anthem,Anthem Silver HMO 55,silver,HMO,False,False,0,,0,,9100,,18200,,,
27603CA1210773-13,Anthem,Anthem Silver HMO 55 w/ T&L,silver,HMO,False,False,0,,0,,9100,,18200,,0,
27603CA1210792,Anthem,Anthem Silver Select HMO 55,silver,HMO,False,False,0,,0,,9100,,18200,,,
27603CA1210792-13,Anthem,Anthem Silver Select HMO 55 w/ T&L,silver,HMO,False,False,0,,0,,9100,,18200,,0,
27603CA1210865,Anthem,Anthem Platinum HMO 0/30,platinum,HMO,False,False,0,,0,,2700,,5400,,,
27603CA1210865-13,Anthem,Anthem Platinum HMO 0/30 w/ T&L,platinum,HMO,False,False,0,,0,,2700,,5400,,0,
27603CA1210884,Anthem,Anthem Platinum Select HMO 0/30,platinum,HMO,False,False,0,,0,,2700,,5400,,,
27603CA1210884-13,Anthem,Anthem Platinum Select HMO 0/30 w/ T&L,platinum,HMO,False,False,0,,0,,2700,,5400,,0,
27603CA1210971,Anthem,Anthem Silver HMO 60/2500/45%,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1210971-13,Anthem,Anthem Silver HMO 60/2500/45% w/ T&L,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1210990,Anthem,Anthem Silver Select HMO 60/2500/45%,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1210990-13,Anthem,Anthem Silver Select HMO 60/2500/45% w/ T&L,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1211066,Anthem,Anthem Silver Priority Select HMO 55,silver,HMO,False,False,0,,0,,9100,,18200,,,
27603CA1211066-13,Anthem,Anthem Silver Priority Select HMO 55 w/ T&L,silver,HMO,False,False,0,,0,,9100,,18200,,0,
27603CA1211080,Anthem,Anthem Platinum Priority Select HMO 0/30,platinum,HMO,False,False,0,,0,,2700,,5400,,,
27603CA1211080-13,Anthem,Anthem Platinum Priority Select HMO 0/30 w/ T&L,platinum,HMO,False,False,0,,0,,2700,,5400,,0,
27603CA1211094,Anthem,Anthem Gold Priority Select HMO 35,gold,HMO,False,False,0,,0,,6750,,13500,,,
27603CA1211094-13,Anthem,Anthem Gold Priority Select HMO 35 w/ T&L,gold,HMO,False,False,0,,0,,6750,,13500,,0,
27603CA1211108,Anthem,Anthem Gold Priority Select HMO 30,gold,HMO,False,False,0,,0,,6600,,13200,,,
27603CA1211108-13,Anthem,Anthem Gold Priority Select HMO 30 w/ T&L,gold,HMO,False,False,0,,0,,6600,,13200,,0,
27603CA1211122,Anthem,Anthem Silver Priority Select HMO 60/2500/45%,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1211122-13,Anthem,Anthem Silver Priority Select HMO 60/2500/45% w/ T&L,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1211136,Anthem,Anthem Platinum Priority Select HMO 0/25,platinum,HMO,False,False,0,,0,,2300,,4600,,,
27603CA1211136-13,Anthem,Anthem Platinum Priority Select HMO 0/25 w/ T&L,platinum,HMO,False,False,0,,0,,2300,,4600,,0,
27603CA1211150,Anthem,Anthem Gold HMO 35/500/20%,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211150-13,Anthem,Anthem Gold HMO 35/500/20% w/ T&L,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211169,Anthem,Anthem Gold HMO 35/1250/20%,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211169-13,Anthem,Anthem Gold HMO 35/1250/20% w/ T&L,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211188,Anthem,Anthem Gold Select HMO 35/1250/20%,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211188-13,Anthem,Anthem Gold Select HMO 35/1250/20% w/ T&L,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211207,Anthem,Anthem Gold Select HMO 35/500/20%,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211207-13,Anthem,Anthem Gold Select HMO 35/500/20% w/ T&L,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211226,Anthem,Anthem Gold Priority Select HMO 35/1250/20%,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211226-13,Anthem,Anthem Gold Priority Select HMO 35/1250/20% w/ T&L,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211245,Anthem,Anthem Gold Priority Select HMO 35/500/20%,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211245-13,Anthem,Anthem Gold Priority Select HMO 35/500/20% w/ T&L,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211321,Anthem,Anthem Platinum HMO 0/20,platinum,HMO,False,False,0,,0,,1900,,3800,,,
27603CA1211321-13,Anthem,Anthem Platinum HMO 0/20 w/ T&L,platinum,HMO,False,False,0,,0,,1900,,3800,,0,
27603CA1211340,Anthem,Anthem Link Platinum Vivity HMO 15,platinum,HMO,False,False,0,,0,,2500,,5000,,,
27603CA1211340-13,Anthem,Anthem Link Platinum Vivity HMO 15 w/ T&L,platinum,HMO,False,False,0,,0,,2500,,5000,,25,
27603CA1211359,Anthem,Anthem Link Platinum Vivity HMO 15 WH,platinum,HMO,False,False,0,,0,,2500,,5000,,,
27603CA1211359-13,Anthem,Anthem Link Platinum Vivity HMO 15 WH w/ T&L,platinum,HMO,False,False,0,,0,,2500,,5000,,25,
27603CA1211378,Anthem,Anthem Link Gold Vivity HMO 35/1000,gold,HMO,False,False,1000,,2000,,6750,,13500,,,
27603CA1211378-13,Anthem,Anthem Link Gold Vivity HMO 35/1000 w/ T&L,gold,HMO,False,False,1000,,2000,,6750,,13500,,25,
27603CA1211397,Anthem,Anthem Link Gold Vivity HMO 35/1000 WH,gold,HMO,False,False,1000,,2000,,6750,,13500,,,
27603CA1211397-13,Anthem,Anthem Link Gold Vivity HMO 35/1000 WH w/ T&L,gold,HMO,False,False,1000,,2000,,6750,,13500,,25,
27603CA1211416,Anthem,Anthem Link Gold Vivity HMO 35/1850,gold,HMO,False,False,1850,,3700,,7750,,15500,,,
27603CA1211416-13,Anthem,Anthem Link Gold Vivity HMO 35/1850 w/ T&L,gold,HMO,False,False,1850,,3700,,7750,,15500,,25,
27603CA1211435,Anthem,Anthem Link Gold Vivity HMO 35/1850 WH,gold,HMO,False,False,1850,,3700,,7750,,15500,,,
27603CA1211435-13,Anthem,Anthem Link Gold Vivity HMO 35/1850 WH w/ T&L,gold,HMO,False,False,1850,,3700,,7750,,15500,,25,
27603CA1211454,Anthem,Anthem Link Gold Vivity HMO 25 WH,gold,HMO,False,False,0,,0,,6150,,12300,,,
27603CA1211454-13,Anthem,Anthem Link Gold Vivity HMO 25 WH w/ T&L,gold,HMO,False,False,0,,0,,6150,,12300,,25,
27603CA1211473,Anthem,Anthem Link Gold Vivity HMO 25,gold,HMO,False,False,0,,0,,6150,,12300,,,
27603CA1211473-13,Anthem,Anthem Link Gold Vivity HMO 25 w/ T&L,gold,HMO,False,False,0,,0,,6150,,12300,,25,
27603CA1211492,Anthem,Anthem Link Silver Vivity HMO 50/2650,silver,HMO,False,False,2650,,5300,,9100,,18200,,,
27603CA1211492-13,Anthem,Anthem Link Silver Vivity HMO 50/2650 w/ T&L,silver,HMO,False,False,2650,,5300,,9100,,18200,,25,
27603CA1211511,Anthem,Anthem Link Silver Vivity HMO 50/2650 WH,silver,HMO,False,False,2650,,5300,,9100,,18200,,,
27603CA1211511-13,Anthem,Anthem Link Silver Vivity HMO 50/2650 WH w/ T&L,silver,HMO,False,False,2650,,5300,,9100,,18200,,25,
27603CA1211530,Anthem,Anthem Link Gold Vivity HMO 25/500,gold,HMO,False,False,500,,1500,,6500,,13000,,,
27603CA1211530-13,Anthem,Anthem Link Gold Vivity HMO 25/500 w/ T&L,gold,HMO,False,False,500,,1500,,6500,,13000,,25,
27603CA1211549,Anthem,Anthem Link Gold Vivity HMO 25/500 WH,gold,HMO,False,False,500,,1500,,6500,,13000,,,
27603CA1211549-13,Anthem,Anthem Link Gold Vivity HMO 25/500 WH w/ T&L,gold,HMO,False,False,500,,1500,,6500,,13000,,25,
27603CA1211568,Anthem,Anthem Silver Select HMO 60/2500/45% WH,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1211568-13,Anthem,Anthem Silver Select HMO 60/2500/45% WH w/ T&L,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1211587,Anthem,Anthem Silver Priority Select HMO 60/2500/45% WH,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1211587-13,Anthem,Anthem Silver Priority Select HMO 60/2500/45% WH w/ T&L,silver,HMO,False,False,2500,,5000,,9100,,18200,,45,
27603CA1211606,Anthem,Anthem Platinum Select HMO 0/20,platinum,HMO,False,False,0,,0,,1900,,3800,,,
27603CA1211606-13,Anthem,Anthem Platinum Select HMO 0/20 w/ T&L,platinum,HMO,False,False,0,,0,,1900,,3800,,0,
27603CA1211625,Anthem,Anthem Platinum Priority Select HMO 0/20,platinum,HMO,False,False,0,,0,,1900,,3800,,,
27603CA1211625-13,Anthem,Anthem Platinum Priority Select HMO 0/20 w/ T&L,platinum,HMO,False,False,0,,0,,1900,,3800,,0,
27603CA1211682,Anthem,Anthem Gold Priority Select HMO 35/1250/20% RxD,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211701,Anthem,Anthem Gold Priority Select HMO 35/500/20% RxD,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211720,Anthem,Anthem Gold Select HMO 35/500/20% RxD,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211739,Anthem,Anthem Gold HMO 35/500/20% RxD,gold,HMO,False,False,500,,1500,,8450,,16900,,20,
27603CA1211758,Anthem,Anthem Gold Select HMO 35/1250/20% RxD,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1211777,Anthem,Anthem Gold HMO 35/1250/20% RxD,gold,HMO,False,False,1250,,2500,,8600,,17200,,20,
27603CA1220107,Anthem,Anthem Gold Select PPO 25/350/20%,gold,PPO,False,False,350,2000,700,4000,7800,15600,15600,31200,20,50
27603CA1220129,Anthem,Anthem Platinum Select PPO 15/10%,platinum,PPO,False,False,0,2000,0,4000,4500,9000,9000,18000,10,50
27603CA1220130,Anthem,Anthem Bronze Select PPO 7000/0% w/HSA,expanded_bronze,PPO,True,False,7000,14000,14000,28000,7000,17500,14000,35000,0,50
27603CA1220250,Anthem,Anthem Silver Select PPO 55/2500/35%,silver,PPO,False,False,2500,5000,5000,10000,8600,17200,17200,34400,35,50
27603CA1220252,Anthem,Anthem Bronze Select PPO 6700/0% w/HSA PrevRx,expanded_bronze,PPO,True,False,6700,13400,13400,26800,7050,17625,14100,35250,0,50
27603CA1220259,Anthem,Anthem Bronze PPO 6700/0% w/HSA PrevRx,expanded_bronze,PPO,True,False,6700,13400,13400,26800,7050,17625,14100,35250,0,50
27603CA1220354,Anthem,Anthem Bronze Select PPO 6000/45% w/HSA PrevRx,expanded_bronze,PPO,True,False,6000,12000,12000,24000,7050,14100,14100,28200,45,50
27603CA1220381,Anthem,Anthem Bronze PPO 6000/45% w/HSA PrevRx,expanded_bronze,PPO,True,False,6000,12000,12000,24000,7050,14100,14100,28200,45,50
27603CA1220560,Anthem,Anthem Silver PPO 2100/30% w/HSA PrevRx,silver,PPO,True,False,2100,4200,4200,8400,7200,14400,14400,28800,30,50
27603CA1220575,Anthem,Anthem Silver Select PPO 2100/30% w/HSA PrevRx,silver,PPO,True,False,2100,4200,4200,8400,7200,14400,14400,28800,30,50
27603CA1220723,Anthem,Anthem Gold PPO 25/30%,gold,PPO,False,False,0,2000,0,4000,8200,16400,16400,32800,30,50
27603CA1220742,Anthem,Anthem Gold PPO 30/500/20%,gold,PPO,False,False,500,2000,1500,4000,7900,15800,15800,31600,20,50
27603CA1220780,Anthem,Anthem Gold PPO 30/750/20%,gold,PPO,False,False,750,2000,2250,4000,8200,16400,16400,32800,20,50
27603CA1220799,Anthem,Anthem Gold PPO 35/1000/20%,gold,PPO,False,False,1000,2000,3000,4000,8200,16400,16400,32800,20,50
