id,carrier_name,name,level,plan_type,individual_medical_deductible,family_medical_deductible,individual_medical_moop,family_medical_moop,plan_coinsurance,hsa_eligible,infertility_treatment_rider,individual_drug_deductible,family_drug_deductible,primary_care_physician,chiropractic_services,individual_medical_deductible_in_network,family_medical_deductible_in_network,individual_medical_moop_in_network,family_medical_moop_in_network,coinsurance_in_network,individual_drug_deductible_in_network,family_drug_deductible_in_network,primary_care_physician_in_network_cleaned,pcp_cleaned_dollar_values_in_network,pcp_cleaned_percentages_in_network,pcp_initial_visits_in_network,pcp_after_deductible_in_network,anthem_travel_and_lodging
27603CA1211165,Anthem,Anthem Gold HMO 35/500/20%,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,0,0,$35,[35.0],[],0,False,False
27603CA1211754,Anthem,Anthem Gold HMO 35/500/20% RxD,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,150,300,$35,[35.0],[],0,False,False
27603CA1211754-13,Anthem,Anthem Gold HMO 35/500/20% RxD w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,150,300,$35,[35.0],[],0,False,True
27603CA1211165-13,Anthem,Anthem Gold HMO 35/500/20% w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,0,0,$35,[35.0],[],0,False,True
27603CA1210902,Anthem,Anthem Gold Priority Select HMO 30,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,500 / Out-of-Network: Not Covered","In-Network: $15,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: Not Covered,True,0,0,7500,15000,0,0,0,$30,[30.0],[],0,False,False
27603CA1210902-13,Anthem,Anthem Gold Priority Select HMO 30 w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,500 / Out-of-Network: Not Covered","In-Network: $15,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: Not Covered,True,0,0,7500,15000,0,0,0,$30,[30.0],[],0,False,True
27603CA1210907,Anthem,Anthem Gold Priority Select HMO 35,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,0,0,6750,13500,0,0,0,$35,[35.0],[],0,False,False
27603CA1210907-13,Anthem,Anthem Gold Priority Select HMO 35 w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,0,0,6750,13500,0,0,0,$35,[35.0],[],0,False,True
27603CA1211239,Anthem,Anthem Gold Priority Select HMO 35/1250/20%,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,0,0,$35,[35.0],[],0,False,False
27603CA1211695,Anthem,Anthem Gold Priority Select HMO 35/1250/20% RxD,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,150,300,$35,[35.0],[],0,False,False
27603CA1211695-13,Anthem,Anthem Gold Priority Select HMO 35/1250/20% RxD w/ T&L,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,150,300,$35,[35.0],[],0,False,True
27603CA1211239-13,Anthem,Anthem Gold Priority Select HMO 35/1250/20% w/ T&L,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,0,0,$35,[35.0],[],0,False,True
27603CA1211258,Anthem,Anthem Gold Priority Select HMO 35/500/20%,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,0,0,$35,[35.0],[],0,False,False
27603CA1211714,Anthem,Anthem Gold Priority Select HMO 35/500/20% RxD,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,150,300,$35,[35.0],[],0,False,False
27603CA1211714-13,Anthem,Anthem Gold Priority Select HMO 35/500/20% RxD w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,150,300,$35,[35.0],[],0,False,True
27603CA1211258-13,Anthem,Anthem Gold Priority Select HMO 35/500/20% w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,0,0,$35,[35.0],[],0,False,True
27603CA1210545,Anthem,Anthem Gold Select HMO 30,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,500 / Out-of-Network: Not Covered","In-Network: $15,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: Not Covered,True,0,0,7500,15000,0,0,0,$30,[30.0],[],0,False,False
27603CA1210545-13,Anthem,Anthem Gold Select HMO 30 w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,500 / Out-of-Network: Not Covered","In-Network: $15,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $30 / Out-of-Network: Not Covered,True,0,0,7500,15000,0,0,0,$30,[30.0],[],0,False,True
27603CA1210276,Anthem,Anthem Gold Select HMO 35,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,0,0,6750,13500,0,0,0,$35,[35.0],[],0,False,False
27603CA1210276-13,Anthem,Anthem Gold Select HMO 35 w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,0,0,6750,13500,0,0,0,$35,[35.0],[],0,False,True
27603CA1211200,Anthem,Anthem Gold Select HMO 35/1250/20%,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,0,0,$35,[35.0],[],0,False,False
27603CA1211770,Anthem,Anthem Gold Select HMO 35/1250/20% RxD,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,150,300,$35,[35.0],[],0,False,False
27603CA1211770-13,Anthem,Anthem Gold Select HMO 35/1250/20% RxD w/ T&L,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,150,300,$35,[35.0],[],0,False,True
27603CA1211200-13,Anthem,Anthem Gold Select HMO 35/1250/20% w/ T&L,gold,HMO,"In-Network: $1,250 / Out-of-Network: Not Covered","In-Network: $2,500 / Out-of-Network: Not Covered","In-Network: $8,600 / Out-of-Network: Not Covered","In-Network: $17,200 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1250,2500,8600,17200,20,0,0,$35,[35.0],[],0,False,True
27603CA1211219,Anthem,Anthem Gold Select HMO 35/500/20%,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,0,0,$35,[35.0],[],0,False,False
27603CA1211732,Anthem,Anthem Gold Select HMO 35/500/20% RxD,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,150,300,$35,[35.0],[],0,False,False
27603CA1211732-13,Anthem,Anthem Gold Select HMO 35/500/20% RxD w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $150 / Out-of-Network: Not Covered,In-Network: $300 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,150,300,$35,[35.0],[],0,False,True
27603CA1211219-13,Anthem,Anthem Gold Select HMO 35/500/20% w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $8,450 / Out-of-Network: Not Covered","In-Network: $16,900 / Out-of-Network: Not Covered",In-Network: 20% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,500,1500,8450,16900,20,0,0,$35,[35.0],[],0,False,True
27603CA1211488,Anthem,Anthem Gold Vivity HMO 25,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,000 / Out-of-Network: Not Covered","In-Network: $14,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,0,0,7000,14000,0,0,0,$25,[25.0],[],0,False,False
27603CA1211469,Anthem,Anthem Gold Vivity HMO 25 WH,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,000 / Out-of-Network: Not Covered","In-Network: $14,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,0,0,7000,14000,0,0,0,$25,[25.0],[],0,False,False
27603CA1211469-13,Anthem,Anthem Gold Vivity HMO 25 WH w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,000 / Out-of-Network: Not Covered","In-Network: $14,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,0,0,7000,14000,0,0,0,$25,[25.0],[],0,False,True
27603CA1211488-13,Anthem,Anthem Gold Vivity HMO 25 w/ T&L,gold,HMO,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,"In-Network: $7,000 / Out-of-Network: Not Covered","In-Network: $14,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $0 / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,0,0,7000,14000,0,0,0,$25,[25.0],[],0,False,True
27603CA1211545,Anthem,Anthem Gold Vivity HMO 25/500,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $6,500 / Out-of-Network: Not Covered","In-Network: $13,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,500,1500,6500,13000,0,0,0,$25,[25.0],[],0,False,False
27603CA1211564,Anthem,Anthem Gold Vivity HMO 25/500 WH,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $6,500 / Out-of-Network: Not Covered","In-Network: $13,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,500,1500,6500,13000,0,0,0,$25,[25.0],[],0,False,False
27603CA1211564-13,Anthem,Anthem Gold Vivity HMO 25/500 WH w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $6,500 / Out-of-Network: Not Covered","In-Network: $13,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,500,1500,6500,13000,0,0,0,$25,[25.0],[],0,False,True
27603CA1211545-13,Anthem,Anthem Gold Vivity HMO 25/500 w/ T&L,gold,HMO,In-Network: $500 / Out-of-Network: Not Covered,"In-Network: $1,500 / Out-of-Network: Not Covered","In-Network: $6,500 / Out-of-Network: Not Covered","In-Network: $13,000 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $25 / Out-of-Network: Not Covered,True,500,1500,6500,13000,0,0,0,$25,[25.0],[],0,False,True
27603CA1211393,Anthem,Anthem Gold Vivity HMO 35/1000,gold,HMO,"In-Network: $1,000 / Out-of-Network: Not Covered","In-Network: $2,000 / Out-of-Network: Not Covered","In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1000,2000,6750,13500,0,0,0,$35,[35.0],[],0,False,False
27603CA1211412,Anthem,Anthem Gold Vivity HMO 35/1000 WH,gold,HMO,"In-Network: $1,000 / Out-of-Network: Not Covered","In-Network: $2,000 / Out-of-Network: Not Covered","In-Network: $6,750 / Out-of-Network: Not Covered","In-Network: $13,500 / Out-of-Network: Not Covered",In-Network: 0% / Out-of-Network: Not Applicable,False,False,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: Included in Medical / Out-of-Network: Not Covered,In-Network: $35 / Out-of-Network: Not Covered,True,1000,2000,6750,13500,0,0,0,$35,[35.0],[],0,False,False
